libelle;libelle_complet;mot_directeur;voie_tenante;voie_aboutissante;commune;code_insee;sti;rivoli
RUE HONORE DE BALZAC;Rue Honoré de Balzac;BALZAC;;;BALMA;31044;310440000026;3100440445S
RUE JACQUES PREVERT;Rue Jacques Prévert;PREVERT;;;BALMA;31044;310440000222;3100440460H
CHE DU TIERS ETAT;Chemin du Tiers-État;TIERS-ETAT;;;BLAGNAC;31069;310690000396;3100691044J
ALL DE LANGRES;Allée de Langres;LANGRES;;;COLOMIERS;31149;311490000237;3101490752U
ALL DU CIMETIERE;Allée du Cimetière;CIMETIERE;;;SEILH;31541;315410000080;3105410050B
RPT COMB DE MOINS DE VINGT ANS;Rond-point des Combattants de moins de Vingt Ans;ANS;;;TOULOUSE;31555;315559000110;3105552218X
RUE DU PLANTEROUS;Rue du Planterous;PLANTEROUS;;;BEAUZELLE;31056;310560000087;3100560133A
RUE JOSEPH DE PESQUIDOUX;Rue Joseph de Pesquidoux;PESQUIDOUX;;;TOULOUSE;31555;315558342951;3105554559S
CHEM JEAN GALLIA;Cheminement Jean Gallia;GALLIA;;;TOULOUSE;31555;315558409440;3105554581R
IMP DE SAINT JEAN;Impasse de Saint-Jean;JEAN;;;COLOMIERS;31149;311490000556;3101491111J
CHE DE CANET;Chemin de Canet;CANET;;;BRUGUIERES;31091;310910000145;3100910039W
IMP DE LA RIVIERE;Impasse de la Rivière;RIVIERE;;;BRUGUIERES;31091;310910000134;3100912712B
IMP DE LA MENTHE;Impasse de la Menthe;MENTHE;;;TOURNEFEUILLE;31557;315570000289;3105572680R
ALL DU TECH;Allée du Tech;TECH;;;COLOMIERS;31149;311490000444;3101491245E
RUE GEORGES DE BUFFON;Rue Georges de Buffon;BUFFON;;;BALMA;31044;310440000054;3100440377T
IMP LUCIEN LABERTY;Impasse Lucien Laberty;LABERTY;;;TOULOUSE;31555;315553732804;3105555449J
RUE MADELEINE KAHN KLEIN;Rue Madeleine Kahn Klein;KLEIN;;;TOULOUSE;31555;315558447903;3105555487A
CHE DE L EGLISE;Chemin de l'Église;EGLISE;;;QUINT;31445;314450000034;3104450271J
LOT LES GILETS;Lotissement Les Gilets;GILETS;;;SAINT-JORY;31490;314900000079;310490A030W
ALL HENRIETTE MORIAME;Allée Henriette Moriamé;MORIAME;;;COLOMIERS;31149;311490000577;3101490805B
AV LEON VIALA;Avenue Léon Viala;VIALA;;;TOULOUSE;31555;315557216058;3105555176M
RUE DE LA VENDEE;Rue de la Vendée;VENDEE;;;TOULOUSE;31555;315557161608;3105558764M
PL DES TROUBADOURS;Place Des Troubadours;TROUBADOURS;;;DREMIL-LAFAGE;31163;311630000038;3101630330Z
RUE DU PIC D ARBIZON;Rue du Pic d'Arbizon;ARBIZON;;;UNION;31561;315610000017;3105610580R
IMP RENE ARNAUD;Impasse René Arnaud;ARNAUD;;;AUCAMVILLE;31022;310220000018;3100220345D
IMP DES DEUX SEVRES;Impasse des Deux Sèvres;SEVRES;;;TOULOUSE;31555;315552291239;3105552636B
PL AUGUSTE LAFOURCADE;Place Auguste Lafourcade;LAFOURCADE;;;TOULOUSE;31555;315553788815;3105554940F
RUE DU POITOU;Rue du Poitou;POITOU;;;TOULOUSE;31555;315555462433;3105556980Y
RUE LOUIS LUMIERE;Rue Louis Lumière;LUMIERE;;;TOULOUSE;31555;315554236842;3105555384N
CHE DE SAOUMATTE;Chemin de Saoumatte;SAOUMATTE;;;PIBRAC;31417;314170000164;310417
VA VA000035;Voie Anonyme Numéro 000035;;;;VILLENEUVE-TOLOSANE;31588;31588A000035;
ALL DES LANDES;Allée des Landes;LANDES;;;TOURNEFEUILLE;31557;315570000248;3105572320Z
RUE PAUL MERLIN;Rue Paul Merlin;MERLIN;;;TOULOUSE;31555;315554592048;3105556636Z
VA VA000155;Voie Anonyme Numéro 000155;;;;TOURNEFEUILLE;31557;31557A000155;
RUE DE LA QUERQUEILLE;Rue de la Querqueille;QUERQUEILLE;;;ST-ORENS-DE-GAMEVILLE;31506;315060000167;3105061060B
PAS DU CANAL DE BORDELONGUE;Passage du canal de Bordelongue;BORDELONGUE;;;TOULOUSE;31555;315559000036;3105551601B
PL DES AMARYLLIS;Place des Amaryllis;AMARYLLIS;;;TOULOUSE;31555;315558382108;3105550234R
AV DES DROITS DE L HOMME;Avenue des Droits de l'Homme;HOMME;;;LAUNAGUET;31282;312820000059;3102820095B
BD DES ECOLES;Boulevard des Écoles;ECOLES;;;PIBRAC;31417;314170000079;3104170100V
RUE FREDERIC MISTRAL;Rue Frédéric Mistral;MISTRAL;;;TOURNEFEUILLE;31557;315570000298;3105571730H
CLOS DES LITANIES;Clos des Litanies;LITANIES;;;PIN-BALMA;31418;314180000013;3104180207G
RUE SOPHIE GERMAIN;Rue Sophie Germain;GERMAIN;;;TOULOUSE;31555;315559000242;3105558283P
RUE MICHEL DE MONTAIGNE;Rue Michel de Montaigne;MONTAIGNE;;;TOULOUSE;31555;315554729627;3105555924A
RUE BERTHE MONMART;Rue Berthe Monmart;MONMART;;;TOULOUSE;31555;315558438935;3105551102J
RUE DES GARDENIAS;Rue des Gardénias;GARDENIAS;;;TOULOUSE;31555;315553075210;3105553724J
